,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
107,982004,非洲,Africa,科特迪瓦,Ivory Coast,科特迪瓦,Ivory Coast,科特迪瓦,279,323,0,41,3,,,1586261007854
108,951004,亚洲,Asia,韩国,Korea,韩国,Korea,韩国,3445,10331,0,6694,192,,,1586261007854
109,965011,欧洲,Europe,罗马尼亚,Romania,罗马尼亚,Romania,罗马尼亚,3526,4057,0,374,157,,,1586261007854
110,964002,欧洲,Europe,爱沙尼亚,Estonia,爱沙尼亚,Estonia,爱沙尼亚,1045,1108,0,48,15,,,1586261007854
111,972002,北美洲,North America,哥斯达黎加,Costa Rica,哥斯达黎加,Costa Rica,哥斯达黎加,433,435,0,0,2,,,1586261007854
112,963004,欧洲,Europe,匈牙利,Hungary,匈牙利,Hungary,匈牙利,699,817,0,71,47,,,1586261007854
113,0,欧洲,Europe,马恩岛,Isle of Man,马恩岛,Isle of Man,马恩岛,126,127,0,0,1,,,1586261007854
114,974013,北美洲,North America,特立尼达和多巴哥,Trinidad and Tobago,特立尼达和多巴哥,Trinidad and Tobago,特立尼达和多巴哥,97,103,0,0,6,,,1586261007854
115,952006,亚洲,Asia,老挝,Laos,老挝,Laos,老挝,12,12,0,0,0,,,1586261007854
116,961002,欧洲,Europe,法国,France,法国,France,法国,72637,98984,0,17421,8926,,,1586261007854
117,0,北美洲,North America,美属维尔京群岛,,美属维尔京群岛,,美属维尔京群岛,42,42,0,0,0,,,1586261007854
118,963002,欧洲,Europe,捷克,Czech Republic,捷克,Czech Republic,捷克,4536,4735,0,121,78,,,1586261007854
119,973010,南美洲,South America,苏里南,Suriname,苏里南,Suriname,苏里南,9,10,0,0,1,,,1586261007854
120,953002,亚洲,Asia,不丹,Kingdom of Bhutan,不丹,Kingdom of Bhutan,不丹,5,5,0,0,0,,,1586261007854
121,955008,亚洲,Asia,伊拉克,Iraq,伊拉克,Iraq,伊拉克,623,1031,0,344,64,,,1586261007854
122,972007,北美洲,North America,巴拿马,Panama,巴拿马,Panama,巴拿马,2041,2100,0,4,55,,,1586261007854
