,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
23,982008,非洲,Africa,几内亚比绍,,几内亚比绍,,几内亚比绍,18,18,0,0,0,,,1586146615856
24,963005,欧洲,Europe,列支敦士登,Liechtenstein,列支敦士登,Liechtenstein,列支敦士登,76,77,0,0,1,,,1586146615856
25,0,非洲,Africa,刚果（布）,,刚果（布）,,刚果（布）,38,45,0,2,5,,,1586146615856
26,0,非洲,Africa,刚果（金）,Democratic Republic of the Congo,刚果（金）,Democratic Republic of the Congo,刚果（金）,133,154,0,3,18,,,1586146615856
27,981003,非洲,Africa,利比亚,Libya,利比亚,Libya,利比亚,17,18,0,0,1,,,1586146615856
28,982009,非洲,Africa,利比里亚,Liberia,利比里亚,Liberia,利比里亚,7,13,0,3,3,,,1586146615856
29,971001,北美洲,North America,加拿大,Canada,加拿大,Canada,加拿大,12462,15512,0,2770,280,,,1586146615856
30,982006,非洲,Africa,加纳,Ghana,加纳,Ghana,加纳,206,214,0,3,5,,,1586146615856
31,983004,非洲,Africa,加蓬,Gabon,加蓬,Gabon,加蓬,22,24,0,1,1,,,1586146615856
32,963004,欧洲,Europe,匈牙利,Hungary,匈牙利,Hungary,匈牙利,633,733,0,66,34,,,1586146615856
33,0,欧洲,Europe,北爱尔兰,Northern Ireland,北爱尔兰,Northern Ireland,北爱尔兰,1,1,0,0,0,,,1582864428698
34,0,欧洲,Europe,北马其顿,North Macedonia,北马其顿,North Macedonia,北马其顿,514,555,0,23,18,,,1586147965153
35,0,大洋洲,Oceania,北马里亚纳群岛联邦,,北马里亚纳群岛联邦,,北马里亚纳群岛联邦,7,8,0,0,1,,,1586139686115
36,981007,非洲,Africa,南苏丹,,南苏丹,,南苏丹,1,1,0,0,0,,,1586146615856
37,984011,非洲,Africa,南非,South Africa,南非,South Africa,南非,1599,1655,0,45,11,,,1586146615856
38,984002,非洲,Africa,博茨瓦纳,Botswana,博茨瓦纳,Botswana,博茨瓦纳,3,4,0,0,1,,,1586085510377
39,955015,亚洲,Asia,卡塔尔,Qatar,卡塔尔,Qatar,卡塔尔,1477,1604,0,123,4,,,1586146615856
40,985006,非洲,Africa,卢旺达,Republic of Rwanda,卢旺达,Republic of Rwanda,卢旺达,100,104,0,4,0,,,1586146615856
41,961004,欧洲,Europe,卢森堡,Luxembourg,卢森堡,Luxembourg,卢森堡,2527,2804,0,241,36,,,1586146615856
42,953003,亚洲,Asia,印度,India,印度,India,印度,3666,4067,0,292,109,,,1586146615856
43,952005,亚洲,Asia,印度尼西亚,Indonesia,印度尼西亚,Indonesia,印度尼西亚,2011,2273,0,64,198,,,1586146615856
44,972004,北美洲,North America,危地马拉,Guatemala,危地马拉,Guatemala,危地马拉,49,50,0,0,1,,,1586146615856
45,973006,南美洲,South America,厄瓜多尔,Ecuador,厄瓜多尔,Ecuador,厄瓜多尔,3466,3646,0,0,180,,,1586146615856
46,985003,非洲,Africa,厄立特里亚,,厄立特里亚,,厄立特里亚,29,29,0,0,0,,,1586146615856
47,955017,亚洲,Asia,叙利亚,Syria,叙利亚,Syria,叙利亚,14,19,0,2,3,,,1586146615856
